Code,Exchange,Name,Sector,Industry
PWR,US,Quanta Services Inc,Industrials,Engineering & Construction
MRK,US,Merck & Company Inc,Healthcare,Drug Manufacturers - General
VRSK,US,Verisk Analytics Inc,Industrials,Consulting Services
NWSA,US,News Corp A,Communication Services,Entertainment
MSFT,US,Microsoft Corporation,Technology,Software - Infrastructure
TSN,US,Tyson Foods Inc,Consumer Defensive,Farm Products
EQT,US,EQT Corporation,Energy,Oil & Gas E&P
BSX,US,Boston Scientific Corp,Healthcare,Medical Devices
LKQ,US,LKQ Corporation,Consumer Cyclical,Auto Parts
IEX,US,IDEX Corporation,Industrials,Specialty Industrial Machinery
DE,US,Deere & Company,Industrials,Farm & Heavy Construction Machinery
TRGP,US,Targa Resources Inc,Energy,Oil & Gas Midstream
ROK,US,Rockwell Automation Inc,Industrials,Specialty Industrial Machinery
NOC,US,Northrop Grumman Corporation,Industrials,Aerospace & Defense
PFG,US,Principal Financial Group Inc,Financial Services,Asset Management
WDC,US,Western Digital Corporation,Technology,Computer Hardware
IDXX,US,IDEXX Laboratories Inc,Healthcare,Diagnostics & Research
AKAM,US,Akamai Technologies Inc,Technology,Software - Infrastructure
NXPI,US,NXP Semiconductors NV,Technology,Semiconductors
WFC,US,Wells Fargo & Company,Financial Services,Banks - Diversified
JNPR,US,Juniper Networks Inc,Technology,Communication Equipment
CCL,US,Carnival Corporation,Consumer Cyclical,Travel Services
AZO,US,AutoZone Inc,Consumer Cyclical,Specialty Retail
HLT,US,Hilton Worldwide Holdings Inc,Consumer Cyclical,Lodging
SBAC,US,SBA Communications Corp,Real Estate,REIT - Specialty
GOOG,US,Alphabet Inc Class C,Communication Services,Internet Content & Information
FOXA,US,Fox Corp Class A,Communication Services,Entertainment
ECL,US,Ecolab Inc,Basic Materials,Specialty Chemicals
HST,US,Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel
CRL,US,Charles River Laboratories,Healthcare,Diagnostics & Research
IBM,US,International Business Machines,Technology,Information Technology Services
ISRG,US,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies
CPRT,US,Copart Inc,Industrials,Specialty Business Services
DLR,US,Digital Realty Trust Inc,Real Estate,REIT - Specialty
TDG,US,Transdigm Group Incorporated,Industrials,Aerospace & Defense
AES,US,The AES Corporation,Utilities,Utilities - Diversified
ED,US,Consolidated Edison Inc,Utilities,Utilities - Regulated Electric
ETR,US,Entergy Corporation,Utilities,Utilities - Regulated Electric
L,US,Loews Corp,Financial Services,Insurance - Property & Casualty
HAL,US,Halliburton Company,Energy,Oil & Gas Equipment & Services
MCK,US,McKesson Corporation,Healthcare,Medical Distribution
BG,US,Bunge Limited,Consumer Defensive,Farm Products
BAX,US,Baxter International Inc,Healthcare,Medical Instruments & Supplies
GRMN,US,Garmin Ltd,Technology,Scientific & Technical Instruments
TROW,US,T. Rowe Price Group Inc,Financial Services,Asset Management
HSY,US,Hershey Co,Consumer Defensive,Confectioners
DHI,US,DR Horton Inc,Consumer Cyclical,Residential Construction
BLK,US,BlackRock Inc,Financial Services,Asset Management
F,US,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
DAL,US,Delta Air Lines Inc,Industrials,Airlines
WST,US,West Pharmaceutical Services Inc,Healthcare,Medical Instruments & Supplies
LRCX,US,Lam Research Corp,Technology,Semiconductor Equipment & Materials
HSIC,US,Henry Schein Inc,Healthcare,Medical Distribution
WYNN,US,Wynn Resorts Limited,Consumer Cyclical,Resorts & Casinos
ADI,US,Analog Devices Inc,Technology,Semiconductors
LNT,US,Alliant Energy Corp,Utilities,Utilities - Regulated Electric
INCY,US,Incyte Corporation,Healthcare,Biotechnology
HBAN,US,Huntington Bancshares Incorporated,Financial Services,Banks - Regional
META,US,Meta Platforms Inc.,Communication Services,Internet Content & Information
AMGN,US,Amgen Inc,Healthcare,Drug Manufacturers - General
AIG,US,American International Group Inc,Financial Services,Insurance - Diversified
NI,US,NiSource Inc,Utilities,Utilities - Regulated Gas
DVN,US,Devon Energy Corporation,Energy,Oil & Gas E&P
PEP,US,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic
OMC,US,Omnicom Group Inc,Communication Services,Advertising Agencies
STLD,US,Steel Dynamics Inc,Basic Materials,Steel
LDOS,US,Leidos Holdings Inc,Technology,Information Technology Services
TMO,US,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research
GNRC,US,Generac Holdings Inc,Industrials,Specialty Industrial Machinery
FI,US,Fiserv Inc.,Technology,Information Technology Services
MOS,US,The Mosaic Company,Basic Materials,Agricultural Inputs
MPC,US,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing
DIS,US,Walt Disney Company,Communication Services,Entertainment
ATO,US,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas
CMS,US,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
DD,US,Dupont De Nemours Inc,Basic Materials,Specialty Chemicals
ORLY,US,O’Reilly Automotive Inc,Consumer Cyclical,Specialty Retail
CMCSA,US,Comcast Corp,Communication Services,Telecom Services
STZ,US,Constellation Brands Inc Class A,Consumer Defensive,Beverages - Wineries & Distilleries
NFLX,US,Netflix Inc,Communication Services,Entertainment
FANG,US,Diamondback Energy Inc,Energy,Oil & Gas E&P
FTNT,US,Fortinet Inc,Technology,Software - Infrastructure
GM,US,General Motors Company,Consumer Cyclical,Auto Manufacturers
V,US,Visa Inc. Class A,Financial Services,Credit Services
SWK,US,Stanley Black & Decker Inc,Industrials,Tools & Accessories
GE,US,GE Aerospace,Industrials,Aerospace & Defense
TRMB,US,Trimble Inc,Technology,Scientific & Technical Instruments
JBHT,US,JB Hunt Transport Services Inc,Industrials,Integrated Freight & Logistics
MET,US,MetLife Inc,Financial Services,Insurance - Life
GPC,US,Genuine Parts Co,Consumer Cyclical,Auto Parts
MAR,US,Marriott International Inc,Consumer Cyclical,Lodging
O,US,Realty Income Corp,Real Estate,REIT - Retail
UPS,US,United Parcel Service Inc,Industrials,Integrated Freight & Logistics
BK,US,Bank of New York Mellon,Financial Services,Asset Management
OKE,US,ONEOK Inc,Energy,Oil & Gas Midstream
MKTX,US,MarketAxess Holdings Inc,Financial Services,Capital Markets
VRTX,US,Vertex Pharmaceuticals Inc,Healthcare,Biotechnology
CHTR,US,Charter Communications Inc,Communication Services,Telecom Services
MU,US,Micron Technology Inc,Technology,Semiconductors
SMCI,US,Super Micro Computer Inc,Technology,Computer Hardware
DVA,US,DaVita HealthCare Partners Inc,Healthcare,Medical Care Facilities
XEL,US,Xcel Energy Inc,Utilities,Utilities - Regulated Electric
LYV,US,Live Nation Entertainment Inc,Communication Services,Entertainment
DTE,US,DTE Energy Company,Utilities,Utilities - Regulated Electric
CPT,US,Camden Property Trust,Real Estate,REIT - Residential
IVZ,US,Invesco Plc,Financial Services,Asset Management
DPZ,US,Domino’s Pizza Inc,Consumer Cyclical,Restaurants
PH,US,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery
VRSN,US,VeriSign Inc,Technology,Software - Infrastructure
GILD,US,Gilead Sciences Inc,Healthcare,Drug Manufacturers - General
JBL,US,Jabil Circuit Inc,Technology,Electronic Components
APA,US,APA Corporation,Energy,Oil & Gas E&P
PSA,US,Public Storage,Real Estate,REIT - Industrial
JCI,US,Johnson Controls International PLC,Industrials,Building Products & Equipment
EXPE,US,Expedia Group Inc.,Consumer Cyclical,Travel Services
SJM,US,JM Smucker Company,Consumer Defensive,Packaged Foods
MTB,US,M&T Bank Corporation,Financial Services,Banks - Regional
CVS,US,CVS Health Corp,Healthcare,Healthcare Plans
D,US,Dominion Energy Inc,Utilities,Utilities - Regulated Electric
XYL,US,Xylem Inc,Industrials,Specialty Industrial Machinery
BEN,US,Franklin Resources Inc,Financial Services,Asset Management
ROP,US,Roper Technologies Inc. Common Stock,Technology,Software - Application
SYK,US,Stryker Corporation,Healthcare,Medical Devices
DHR,US,Danaher Corporation,Healthcare,Diagnostics & Research
TXT,US,Textron Inc,Industrials,Aerospace & Defense
ACGL,US,Arch Capital Group Ltd,Financial Services,Insurance - Diversified
RHI,US,Robert Half International Inc,Industrials,Staffing & Employment Services
ITW,US,Illinois Tool Works Inc,Industrials,Specialty Industrial Machinery
JKHY,US,Jack Henry & Associates Inc,Technology,Information Technology Services
NUE,US,Nucor Corp,Basic Materials,Steel
BWA,US,BorgWarner Inc,Consumer Cyclical,Auto Parts
VZ,US,Verizon Communications Inc,Communication Services,Telecom Services
AMP,US,Ameriprise Financial Inc,Financial Services,Asset Management
MCO,US,Moodys Corporation,Financial Services,Financial Data & Stock Exchanges
YUM,US,Yum! Brands Inc,Consumer Cyclical,Restaurants
HAS,US,Hasbro Inc,Consumer Cyclical,Leisure
RMD,US,ResMed Inc,Healthcare,Medical Instruments & Supplies
UNH,US,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans
CI,US,Cigna Corp,Healthcare,Healthcare Plans
WY,US,Weyerhaeuser Company,Real Estate,REIT - Specialty
MMC,US,Marsh & McLennan Companies Inc,Financial Services,Insurance Brokers
IR,US,Ingersoll Rand Inc,Industrials,Specialty Industrial Machinery
AMD,US,Advanced Micro Devices Inc,Technology,Semiconductors
ALLE,US,Allegion PLC,Industrials,Security & Protection Services
PCG,US,PG&E Corp,Utilities,Utilities - Regulated Electric
ARE,US,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office
CZR,US,Caesars Entertainment Corporation,Consumer Cyclical,Resorts & Casinos
KR,US,Kroger Company,Consumer Defensive,Grocery Stores
MGM,US,MGM Resorts International,Consumer Cyclical,Resorts & Casinos
CINF,US,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty
CMI,US,Cummins Inc,Industrials,Specialty Industrial Machinery
DOV,US,Dover Corporation,Industrials,Specialty Industrial Machinery
SYY,US,Sysco Corporation,Consumer Defensive,Food Distribution
BXP,US,Boston Properties Inc,Real Estate,REIT - Office
EG,US,Everest Group Ltd,Financial Services,Insurance - Reinsurance
WAB,US,Westinghouse Air Brake Technologies Corp,Industrials,Railroads
TMUS,US,T-Mobile US Inc,Communication Services,Telecom Services
USB,US,U.S. Bancorp,Financial Services,Banks - Regional
WM,US,Waste Management Inc,Industrials,Waste Management
ICE,US,Intercontinental Exchange Inc,Financial Services,Financial Data & Stock Exchanges
FDX,US,FedEx Corporation,Industrials,Integrated Freight & Logistics
HPQ,US,HP Inc,Technology,Computer Hardware
PFE,US,Pfizer Inc,Healthcare,Drug Manufacturers - General
DOW,US,Dow Inc,Basic Materials,Chemicals
SRE,US,Sempra Energy,Utilities,Utilities - Diversified
REGN,US,Regeneron Pharmaceuticals Inc,Healthcare,Biotechnology
STX,US,Seagate Technology PLC,Technology,Computer Hardware
TTWO,US,Take-Two Interactive Software Inc,Communication Services,Electronic Gaming & Multimedia
NOW,US,ServiceNow Inc,Technology,Software - Application
NVR,US,NVR Inc,Consumer Cyclical,Residential Construction
STT,US,State Street Corp,Financial Services,Asset Management
TFX,US,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies
ABBV,US,AbbVie Inc,Healthcare,Drug Manufacturers - General
BR,US,Broadridge Financial Solutions Inc,Technology,Information Technology Services
FSLR,US,First Solar Inc,Technology,Solar
NEE,US,Nextera Energy Inc,Utilities,Utilities - Regulated Electric
MCHP,US,Microchip Technology Inc,Technology,Semiconductors
TYL,US,Tyler Technologies Inc,Technology,Software - Application
PYPL,US,PayPal Holdings Inc,Financial Services,Credit Services
BX,US,Blackstone Group Inc,Financial Services,Asset Management
BF-B,US,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries
SYF,US,Synchrony Financial,Financial Services,Credit Services
ANET,US,Arista Networks,Technology,Computer Hardware
CTLT,US,Catalent Inc,Healthcare,Drug Manufacturers - Specialty & Generic
ELV,US,Elevance Health Inc,Healthcare,Healthcare Plans
MAA,US,Mid-America Apartment Communities Inc,Real Estate,REIT - Residential
KEYS,US,Keysight Technologies Inc,Technology,Scientific & Technical Instruments
BRK-B,US,Berkshire Hathaway Inc,Financial Services,Insurance - Diversified
CFG,US,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional
ETSY,US,Etsy Inc,Consumer Cyclical,Internet Retail
KHC,US,Kraft Heinz Co,Consumer Defensive,Packaged Foods
HPE,US,Hewlett Packard Enterprise Co,Technology,Communication Equipment
WBA,US,Walgreens Boots Alliance Inc,Healthcare,Pharmaceutical Retailers
ES,US,Eversource Energy,Utilities,Utilities - Regulated Electric
ZBH,US,Zimmer Biomet Holdings Inc,Healthcare,Medical Devices
QRVO,US,Qorvo Inc,Technology,Semiconductors
WRK,US,WestRock Co,Consumer Cyclical,Packaging & Containers
HUBB,US,Hubbell Inc,Industrials,Electrical Equipment & Parts
ON,US,ON Semiconductor Corporation,Technology,Semiconductors
SPGI,US,S&P Global Inc,Financial Services,Financial Data & Stock Exchanges
FTV,US,Fortive Corp,Technology,Scientific & Technical Instruments
LW,US,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods
AXON,US,Axon Enterprise Inc.,Industrials,Aerospace & Defense
VST,US,Vistra Energy Corp,Utilities,Utilities - Independent Power Producers
INVH,US,Invitation Homes Inc,Real Estate,REIT - Residential
HD,US,Home Depot Inc,Consumer Cyclical,Home Improvement Retail
EXC,US,Exelon Corporation,Utilities,Utilities - Regulated Electric
LH,US,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research
MTD,US,Mettler-Toledo International Inc,Healthcare,Diagnostics & Research
SLB,US,Schlumberger NV,Energy,Oil & Gas Equipment & Services
CBRE,US,CBRE Group Inc Class A,Real Estate,Real Estate Services
TPR,US,Tapestry Inc,Consumer Cyclical,Luxury Goods
IQV,US,IQVIA Holdings Inc,Healthcare,Diagnostics & Research
APTV,US,Aptiv PLC,Consumer Cyclical,Auto Parts
VICI,US,VICI Properties Inc,Real Estate,REIT - Diversified
BKNG,US,Booking Holdings Inc,Consumer Cyclical,Travel Services
WELL,US,Welltower Inc,Real Estate,REIT - Healthcare Facilities
DAY,US,Dayforce Inc.,Technology,Software - Application
EVRG,US,Evergy Inc. Common Stock,Utilities,Utilities - Regulated Electric
KDP,US,Keurig Dr Pepper Inc,Consumer Defensive,Beverages - Non-Alcoholic
LIN,US,Linde plc Ordinary Shares,Basic Materials,Specialty Chemicals
UBER,US,Uber Technologies Inc,Technology,Software - Application
BKR,US,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
GL,US,Globe Life Inc,Financial Services,Insurance - Life
HWM,US,Howmet Aerospace Inc,Industrials,Aerospace & Defense
DOC,US,Healthpeak Properties Inc,Real Estate,REIT - Healthcare Facilities
TT,US,Trane Technologies plc,Industrials,Building Products & Equipment
PARA,US,Paramount Global Class B,Communication Services,Entertainment
TFC,US,Truist Financial Corp,Financial Services,Banks - Regional
CTVA,US,Corteva Inc,Basic Materials,Agricultural Inputs
AMCR,US,Amcor PLC,Consumer Cyclical,Packaging & Containers
LHX,US,L3Harris Technologies Inc,Industrials,Aerospace & Defense
J,US,Jacobs Solutions Inc.,Industrials,Engineering & Construction
CARR,US,Carrier Global Corp,Industrials,Building Products & Equipment
OTIS,US,Otis Worldwide Corp,Industrials,Specialty Industrial Machinery
RTX,US,Raytheon Technologies Corp,Industrials,Aerospace & Defense
VTRS,US,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic
ABNB,US,Airbnb Inc,Consumer Cyclical,Travel Services
BBWI,US,Bath & Body Works Inc.,Consumer Cyclical,Specialty Retail
CTRA,US,Coterra Energy Inc,Energy,Oil & Gas E&P
WTW,US,Willis Towers Watson PLC,Financial Services,Insurance Brokers
CEG,US,Constellation Energy Corp,Utilities,Utilities - Renewable
WBD,US,Warner Bros Discovery Inc,Communication Services,Entertainment
BALL,US,Ball Corporation,Consumer Cyclical,Packaging & Containers
GEN,US,Gen Digital Inc.,Technology,Software - Infrastructure
GEHC,US,GE HealthCare Technologies Inc.,Healthcare,Health Information Services
KVUE,US,Kenvue Inc.,Consumer Defensive,Household & Personal Products
RVTY,US,Revvity Inc.,Healthcare,Diagnostics & Research
VLTO,US,Veralto Corporation,Industrials,Pollution & Treatment Controls
COR,US,Cencora Inc.,Healthcare,Medical Distribution
CPAY,US,Corpay Inc,Technology,Software - Infrastructure
SOLV,US,Solventum Corp.,Healthcare,Health Information Services
GEV,US,GE Vernova LLC,Utilities,Utilities - Renewable
